"","UNIT_ID","OPE_ID","OPE_ID6","INST","City","State","Zip_Code","Accreditor","URL_main","URL_net_price","Enroll_White","Enroll_Black","Enroll_Hisp","Enroll_Asian","Enroll_AmericanIndian","Enroll_PacificIslander","Enroll_2orMore","Enroll_nonRes","Enroll_Unknown","Enroll_Men","Enroll_Women","Avg_Age","Avg_Fam_Inc","Med_Fam_Inc","Grad_Rate","Grad_Rate_White","Grad_Rate_Black","Grad_Rate_Hisp","Grad_Rate_Asian","Grad_Rate_AmericanIndian","Grad_Rate_PacificIslander","Grad_Rate_2orMore","Grad_Rate_nonRes","Grad_Rate_Unkown","Total_enroll","Region"
"4866","410502","2179938","21799","Argosy University-The Art Institute of California-Hollywood","North Hollywood","CA","91601","Western Association of Schools and Colleges Senior Colleges and University Commission","www.aicdc.artinstitutes.edu","tcc.noellevitz.com/edmc/Argosy University Net Price Calculator","0.2091","0.1586","0.4351","0.0643","0.0062","0.0243","0.0019","0","0.1005","0.5031","0.4969","29.893958794","24239.85626","15149.50454","0.3065","0.3","0","0.303","0.6667","NULL","NULL","NULL","NULL","0","1602","3"
"5187","432533","2179941","21799","Argosy University-The Art Institute of California-Los Angeles","Santa Monica","CA","90405-3035","Western Association of Schools and Colleges Senior Colleges and University Commission","www.artinstitutes.edu/los-angeles/","tcc.noellevitz.com:80/edmc/Freshman-Students%20Net%20Price%20Calculator","0.0634","0.0327","0.3886","0.0167","0.0014","0.0042","0.0097","0","0.4833","0.5787","0.4213","29.893958794","24239.85626","15149.50454","0.3016","0.3143","0.1111","0.5122","0.6","0","NULL","NULL","NULL","0.2284","1436","3"
"5457","441973","2179944","21799","Argosy University-The Art Institute of California-Orange County","Santa Ana","CA","92704","Western Association of Schools and Colleges Senior Colleges and University Commission","www.aicaoc.artinstitutes.edu","tcc.noellevitz.com:80/edmc/Freshman-Students%20Net%20Price%20Calculator","0.1651","0.0247","0.3959","0.0805","0.0042","0.0092","0.0289","0.0021","0.2893","0.5321","0.4679","29.893958794","24239.85626","15149.50454","0.3475","0.3333","0.3333","0.4545","0.6667","NULL","NULL","NULL","NULL","0.3227","1417","3"
"5707","446385","3868400","38684","Los Angeles College of Music","Pasadena","CA","91105","National Association of Schools of Music","www.lacm.edu","www.lacm.edu/wp-content/uploads/2014/03/npcalc2.htm","0.2925","0.0476","0.1293","0.0476","0.0204","0.0068","0.034","0.1973","0.2245","0.7075","0.2925","24.938461538","67852.49416","36402.56031","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","147","3"
"5768","447458","3973300","39733","Expression College for Digital Arts","Emeryville","CA","94608","Accrediting Commission of Career Schools and Colleges","www.expression.edu","www.expression.edu/net-cost-calculator-for-expression-college/","0.3034","0.0809","0.0944","0.0629","0.009","0.0045","0.0921","0.0112","0.3416","0.7888","0.2112","23.292307692","65919.81862","34724.39986","0.6294","0.7","0.2778","0.3636","0.7333","NULL","NULL","0.5","0.3333","0.7358","445","1"
"5838","448576","2179948","21799","Argosy University-The Art Institute of California-Inland Empire","San Bernardino","CA","92408-2800","Western Association of Schools and Colleges Senior Colleges and University Commission","www.artinstitutes.edu/inlandempire","tcc.noellevitz.com:80/edmc/Freshman-Students%20Net%20Price%20Calculator","0.1864","0.1287","0.5167","0.0334","0.0076","0.0238","0","0","0.1033","0.5684","0.4316","29.893958794","24239.85626","15149.50454","0.3374","0.3243","0.2","0.4487","0.4444","0.3333","NULL","NULL","NULL","0.0385","1974","3"
"5937","450094","2179945","21799","Argosy University-The Art Institute of California-Sacramento","Sacramento","CA","95833","Western Association of Schools and Colleges Senior Colleges and University Commission","www.artinstitutes.edu/sacramento/","tcc.noellevitz.com:80/edmc/Freshman-Students%20Net%20Price%20Calculator","0.2125","0.0373","0.2598","0.0302","0.002","0.007","0.0161","0.001","0.434","0.565","0.435","29.893958794","24239.85626","15149.50454","0.3148","0.45","0","0.5","0","0","NULL","NULL","NULL","0.1176","993","1"
"5959","450447","3031409","30314","International Academy of Design and Technology-Sacramento","Sacramento","CA","95834","Accrediting Council for Independent Colleges and Schools","www.iadt.edu/sacramento","www.iadt.studentaidcalculator.com","0.1833","0.1","0.0333","0.0833","0","0.05","0.0167","0","0.5333","0.3667","0.6333","28.823555957","24187.92222","15399.01296","0.3846","0.3103","0.3636","0.4","0.7","NULL","NULL","0","NULL","0.3333","60","1"
"6060","451848","2179939","21799","Argosy University-The Art Institute of California-Silicon Valley","Sunnyvale","CA","94086","Western Association of Schools and Colleges Senior Colleges and University Commission","www.artinstitutes.edu/silicon-valley/","tcc.noellevitz.com:80/edmc/Freshman-Students%20Net%20Price%20Calculator","0.2225","0.0436","0.3945","0.1743","0.0092","0.0229","0","0","0.133","0.5344","0.4656","29.893958794","24239.85626","15149.50454","0.4286","0.1818","0","0.75","0.4","NULL","NULL","NULL","NULL","NULL","436","1"
"6611","461148","4118800","41188","New York Film Academy","Burbank","CA","91505","National Association of Schools of Arts and Design","www.nyfa.edu","https://www.nyfa.edu/federal-financial-aid/NetPriceCalculator/npcalc.htm","0.3173","0.0661","0.0764","0.159","0.0172","0.0021","0","0","0.362","0.5692","0.4308","25.052851182","43836.69413","23658.9615","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","1453","3"
"6837","475635","4185500","41855","Academy of Couture Art","Beverly Hills","CA","90211","Accrediting Council for Independent Colleges and Schools","www.academyofcoutureart.edu/","academyofcoutureart.edu/NetPrice/npcalc.htm","0.1364","0.5455","0.0909","0.1818","0","0","0","0","0.0455","0.2727","0.7273","22.5625","45100.89684","18381.68551","1","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","22","3"
